family,m,method,n,mean_TVE_percent,median_TVE_percent,p95_TVE_percent,bootstrap95_low_percent,bootstrap95_high_percent,mean_angle_RMSE_deg,mean_magnitude_RMSE,mean_coverage95
M5_LOAD_MODEL,0.0,B2-U2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.012859820768825641,0.036794769144693054,0.017994827501700398,0.00011402029983922059,0.5914569301666075
M5_LOAD_MODEL,0.25,B1,20,0.02507839684534011,0.016360637988731264,0.06903090105740432,0.014058789593321802,0.03642055434588764,0.021942589766402232,0.00013394341463656673,
M5_LOAD_MODEL,0.25,B2,20,0.024162862103282806,0.014746811764849854,0.06757317658202755,0.013144922604018616,0.03536495741233517,0.017998574165867504,0.00011404469801871556,0.9986529599432826
M5_LOAD_MODEL,0.25,B2-U2,20,0.024162862103282806,0.014746811764849854,0.06757317658202755,0.012682935986714846,0.03561755265841372,0.017998574165867504,0.00011404469801871556,0.5913683091102445
M5_LOAD_MODEL,0.5,B1,20,0.025083599263451575,0.01636367663509123,0.06904603739704988,0.014875469389680124,0.03690822004221148,0.021946886717385528,0.00013397137054498896,
M5_LOAD_MODEL,0.5,B2,20,0.024167810540980557,0.01474958055909208,0.06758760146678627,0.013717486556482765,0.036584113812234816,0.01800232344616813,0.00011406911033687787,0.9986529599432826
M5_LOAD_MODEL,0.5,B2-U2,20,0.024167810540980557,0.01474958055909208,0.06758760146678627,0.013430714728689157,0.035632792680435954,0.01800232344616813,0.00011406911033687787,0.591350584898972
M5_LOAD_MODEL,0.75,B1,20,0.025088807824154253,0.01636672649872448,0.06906118043561595,0.014440080231655581,0.03764352778596814,0.02195118571493142,0.0001339993393764558,
M5_LOAD_MODEL,0.75,B2,20,0.024172767785298956,0.014752350775477908,0.06760203260349044,0.012675769768844545,0.03490931240851151,0.01800607533847014,0.00011409353691322068,0.9986352357320099
M5_LOAD_MODEL,0.75,B2-U2,20,0.024172767785298956,0.014752350775477908,0.06760203260349044,0.012687498181214818,0.037347256707847984,0.01800607533847014,0.00011409353691322068,0.5913151364764268
M5_LOAD_MODEL,1.0,B1,20,0.025094021616592584,0.016369785163479214,0.0690763301784883,0.013867308725982798,0.03583962861213739,0.021955486758751565,0.00013402732113334322,
M5_LOAD_MODEL,1.0,B2,20,0.02417773353163387,0.014755122411235942,0.06761646989650191,0.012701183090450168,0.035437650299475015,0.01800982984113383,0.0001141179776351859,0.9986352357320099
M5_LOAD_MODEL,1.0,B2-U2,20,0.02417773353163387,0.014755122411235942,0.06761646989650191,0.014136043714470161,0.03564998045640434,0.01800982984113383,0.0001141179776351859,0.5912442396313364
M5_LOAD_MODEL,1.25,B1,20,0.025099240070494758,0.016372851136718082,0.06909148663377346,0.013428658784044718,0.03629476451522947,0.02195978985355265,0.00013405531584403732,
M5_LOAD_MODEL,1.25,B2,20,0.024182707442338035,0.014757895462152155,0.06763091344092473,0.013634467001638997,0.03637030296918698,0.01801358694823829,0.00011414243266044327,0.9986175115207374
M5_LOAD_MODEL,1.25,B2-U2,20,0.024182707442338035,0.014757895462152155,0.06763091344092473,0.013925961787154969,0.03588539577202477,0.01801358694823829,0.00011414243266044327,0.5911733427862459
M5_LOAD_MODEL,1.5,B1,20,0.025104462818249927,0.01637592343736554,0.0691066497958092,0.01409938358319294,0.03734597695786399,0.021964095000165048,0.00013408332350849797,
M5_LOAD_MODEL,1.5,B2,20,0.024187689179483454,0.014760669942166628,0.06764536318973118,0.013156756279389384,0.034968992825430034,0.018017346661178903,0.00011416690193025469,0.9985997873094646
M5_LOAD_MODEL,1.5,B2-U2,20,0.024187689179483454,0.014760669942166628,0.06764536318973118,0.012481963619549879,0.035849227987908995,0.018017346661178903,0.00011416690193025469,0.5911556185749733
M6_OPERATING_POINT,0.0,B1,20,0.02507320094178474,0.016357611537189072,0.06901577140927462,0.014094788083711453,0.03718220575337339,0.021938294860167386,0.00013391547165712467,
M6_OPERATING_POINT,0.0,B2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013397544219349508,0.035595516578501164,0.017994827501700398,0.00011402029983922059,0.9986529599432826
M6_OPERATING_POINT,0.0,B2-U2,20,0.024157922182724122,0.014744044384083058,0.06755875786478666,0.013198185665576657,0.03560424120899943,0.017994827501700398,0.00011402029983922059,0.5914569301666075
